ra,dec,z
202.04979789384137,1.412511695096397,0.1402294736370672
226.79025851165343,9.760899056560584,0.1691084095118275
133.33908190674669,68.95018408609987,0.2302729062774745
163.3656254669137,64.30905428343945,0.4685867496531871
216.4145383348877,-8.03460063173466,0.0941199929777608
162.75603092770152,-1.808445152768026,0.2403117169900816
150.53853566986552,70.57665414510166,0.1940896846274883
120.1956327973159,12.090231559345602,0.2054782445131
164.98779922362883,-6.509105698554771,0.3899017612711932
275.5480235452824,71.36944805945829,0.0892630977068444
216.72278448701744,31.46868281590256,0.2698458754499944
245.75256002601745,25.32264946221773,0.1614562619908365
219.74485212397053,-2.020433594365243,0.1160806833815272
151.0432623843226,35.83404113184017,0.1020043983641827
159.21486395660818,0.0623851550827709,0.4048877256897384
123.22414773942565,9.413158613703391,0.1179214395306837
155.9946353054619,-2.943395309157365,0.3336478148832693
228.65962276862905,-0.3797687845545305,0.1465530467819988
231.9743907250276,3.421907369860948,0.0848033822573478
108.00235581585152,62.99602552391429,0.4441382285965664
275.0419555945829,74.4954592448182,0.2147653398366759
252.17012032380043,37.42426248746269,0.2630064167546771
186.58067920045747,43.77257174555519,0.1886288355961909
228.453233421226,17.603550541013796,0.0885036622857551
217.41376750564967,-5.221626112237059,0.3100111324002433
200.50714037837244,51.98702881619343,0.1452960400963875
132.24880769096413,-7.089691632443328,0.2546488992805519
195.19006207314916,38.30338654675357,0.3722831507071349
118.2069795131324,14.297824764296791,0.4811606257885475
196.9404086690882,0.1846465666243125,0.1220232862287825
114.23400796723725,43.045953148884365,0.1162008435556285
155.134000188683,-3.0153910734088787,0.4344805532590978
202.14903481164583,0.5125980475463906,0.1535960888692379
124.728634693388,26.630342517725385,0.1800934064270511
227.51790301959824,21.173905141560788,0.1855042574960922
229.25822622844203,-0.5385292929051506,0.2325185056635739
230.10393949408652,30.6176936782551,0.0777944719321343
167.90231348352228,-6.544116401157481,0.1572820569244354
235.73352460491415,31.239834634125792,0.3350304469619881
285.1478263889672,60.6296245032719,0.1927160520530454
148.40607700682244,36.37964990997821,0.3066572437048315
144.88359495592417,-7.181292972264725,0.2661930591551015
112.4587492520205,68.45093291749907,0.1557209087693548
177.09046824220232,-3.166971372824473,0.1013259834554556
269.10624327076937,38.348367776146645,0.1359863150394874
260.51089947809294,17.320264528758265,0.1775201262856441
259.77868598840126,68.91772255722847,0.4540693663286512
225.62525333616296,-2.9370572662435284,0.0895302006459516
215.11426063651675,38.68348506971121,0.1695710027178525
117.08957543667348,23.21109775939941,0.352687631830334
163.997467706536,9.48616350163737,0.0992722236740321
198.82472736761164,8.325011254819454,0.379837547520042
268.63625573632663,29.476486754434376,0.3013244517720767
230.81914343211733,41.628504586764215,0.2658097195394806
188.99441748902956,2.782546594063409,0.0743014500605082
225.8194108744668,7.006032901781912,0.065713642029586
192.33858882574657,11.89797361541095,0.180771050009379
228.55420673542977,14.440620876559093,0.1475033370085468
210.8329644048553,2.0190661168634514,0.2253732049173589
160.1959891330186,6.254753284939668,0.162472763619638
115.07309275732,32.087503501581416,0.1823659645168499
268.3922717940686,42.305464126940805,0.1615635386193756
204.9219383097888,33.76639136619646,0.2743185591962941
112.53242383295598,66.24770262996192,0.1656520392099454
195.77405068550897,-2.6180249950634304,0.3519430872066295
137.12459915944527,-1.4117563328880744,0.2487221587338423
232.3867097176812,4.876774928116896,0.0871599087743214
125.9745476366616,5.3169495597684096,0.199380549922339
172.4303709349432,58.75947401853789,0.1523808393423841
141.6382412369444,-7.186299895513633,0.2288240922694029
192.98087898733309,41.83463994041039,0.2703085788913538
156.89120453709964,-6.756195046885588,0.1173791558647936
154.3228866876329,71.18331990993207,0.4678082143099529
201.2305316875862,34.98134456076322,0.1444755634118183
213.6858050732744,6.749013991046871,0.1345039884291399
