name,id,ra,dec,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,z_num,id_msa,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,X,Y,Z_coord
UNCOVER-48864,48864.0,3.499027979544565,-30.36089787897744,13.55665484021447,8837.363244430444,540.3658050654228,-5186.414647614382,filament candidate,UNCOVER,13.55665484021447,,,,,,,,,,,,,,,,,,,,8837.363244430444,540.3658050654228,-5186.414647614382
UNCOVER-48892,48892.0,3.580204600653057,-30.360874584731068,17.184530687074705,9213.322439210791,576.4574292842902,-5407.523997036208,filament candidate,UNCOVER,17.184530687074705,,,,,,,,,,,,,,,,,,,,9213.322439210793,576.4574292842902,-5407.523997036208
UNCOVER-49034,49034.0,3.5789730672370097,-30.360642089926973,13.425232577716528,8820.36034148618,551.6803209881745,-5176.829815516534,filament candidate,UNCOVER,13.425232577716528,,,,,,,,,,,,,,,,,,,,8820.36034148618,551.6803209881745,-5176.829815516534
UNCOVER-49054,49054.0,3.579951509627214,-30.36058887529052,17.44510567262442,9236.039479012716,577.8378269690979,-5420.793703956169,filament candidate,UNCOVER,17.44510567262442,,,,,,,,,,,,,,,,,,,,9236.039479012717,577.8378269690979,-5420.793703956171
UNCOVER-49066,49066.0,3.546415677069285,-30.36054906666655,14.9826464362669,9000.303817473787,557.8010069094813,-5282.235365107171,filament candidate,UNCOVER,14.9826464362669,,,,,,,,,,,,,,,,,,,,9000.303817473787,557.8010069094813,-5282.235365107171
UNCOVER-49083,49083.0,3.580152060395108,-30.360541323146563,16.579547405111445,9158.745883611127,573.0342621439287,-5375.419683776355,filament candidate,UNCOVER,16.579547405111445,,,,,,,,,,,,,,,,,,,,9158.745883611127,573.0342621439287,-5375.419683776355
UNCOVER-49114,49114.0,3.5818468669902503,-30.360449870327376,16.95647030892579,9193.084893862548,575.4557433315309,-5395.564058829287,filament candidate,UNCOVER,16.95647030892579,,,,,,,,,,,,,,,,,,,,9193.084893862548,575.4557433315309,-5395.564058829287
UNCOVER-49266,49266.0,3.5101307580937,-30.360472210580586,12.242216051186452,8663.884556163584,531.4435329140264,-5084.578322923519,filament candidate,UNCOVER,12.242216051186452,,,,,,,,,,,,,,,,,,,,8663.884556163584,531.4435329140265,-5084.578322923519
UNCOVER-49289,49289.0,3.523197502576318,-30.360159861904283,14.230154635659057,8917.218889371832,549.0244068272068,-5233.260701130158,filament candidate,UNCOVER,14.230154635659057,,,,,,,,,,,,,,,,,,,,8917.218889371832,549.0244068272068,-5233.260701130159
UNCOVER-49338,49338.0,3.534445753725284,-30.360090694219966,17.47586199097806,9239.1888042735,570.668504447436,-5422.266270080045,filament candidate,UNCOVER,17.47586199097806,,,,,,,,,,,,,,,,,,,,9239.188804273499,570.6685044474361,-5422.266270080045
UNCOVER-49440,49440.0,3.5587201004750453,-30.359903598826858,15.254093284260344,9028.876358901824,561.5182620766521,-5298.938223883803,filament candidate,UNCOVER,15.254093284260344,,,,,,,,,,,,,,,,,,,,9028.876358901825,561.5182620766521,-5298.938223883803
UNCOVER-49483,49483.0,3.50319571484188,-30.35979499161684,13.39370627760868,8817.223829496195,539.7781404962086,-5174.390001726943,filament candidate,UNCOVER,13.39370627760868,,,,,,,,,,,,,,,,,,,,8817.223829496195,539.7781404962087,-5174.3900017269425
UNCOVER-49514,49514.0,3.590110385123627,-30.359741785134855,10.89704169726197,8456.76666768868,530.5892074528392,-4963.311689368991,filament candidate,UNCOVER,10.89704169726197,,,,,,,,,,,,,,,,,,,,8456.76666768868,530.5892074528392,-4963.31168936899
UNCOVER-49787,49787.0,3.516611443387399,-30.3591579366646,10.40046674262695,8372.196205055605,514.5018836051144,-4913.170730316318,filament candidate,UNCOVER,10.40046674262695,,,,,,,,,,,,,,,,,,,,8372.196205055605,514.5018836051144,-4913.170730316318
UNCOVER-49866,49866.0,3.598604147477605,-30.358947687838548,17.50695363565999,9241.320188147738,581.1885547125297,-5423.647570169637,filament candidate,UNCOVER,17.50695363565999,,,,,,,,,,,,,,,,,,,,9241.320188147738,581.1885547125297,-5423.647570169637
UNCOVER-49944,49944.0,3.5706731016921998,-30.35884704152257,13.470578376995364,8826.238749337135,550.7644188357948,-5179.860958189316,filament candidate,UNCOVER,13.470578376995364,,,,,,,,,,,,,,,,,,,,8826.23874933714,550.7644188357953,-5179.860958189319
UNCOVER-49986,49986.0,3.5805979236712413,-30.35879102425088,14.769154687419974,8977.093685720642,561.7389800330278,-5268.438516444991,filament candidate,UNCOVER,14.769154687419974,,,,,,,,,,,,,,,,,,,,8977.093685720642,561.7389800330278,-5268.438516444992
UNCOVER-50157,50157.0,3.531228537089327,-30.35846582360625,10.10576423590809,8318.822401702813,513.3521858338636,-4881.790125265551,filament candidate,UNCOVER,10.10576423590809,,,,,,,,,,,,,,,,,,,,8318.822401702813,513.3521858338636,-4881.790125265551
UNCOVER-50182,50182.0,3.5306465071124244,-30.35843762875174,16.12541273605889,9116.549307656129,562.486726761563,-5349.916144685167,filament candidate,UNCOVER,16.12541273605889,,,,,,,,,,,,,,,,,,,,9116.549307656127,562.486726761563,-5349.916144685167
UNCOVER-50230,50230.0,3.503141320730092,-30.35833121291198,10.66781059519549,8418.985888774203,515.3905468405699,-4940.394259478809,filament candidate,UNCOVER,10.66781059519549,,,,,,,,,,,,,,,,,,,,8418.985888774203,515.3905468405699,-4940.394259478809
UNCOVER-50257,50257.0,3.5302456417330017,-30.3582616810603,16.98329305550868,9196.20823708727,567.3370591146361,-5396.622514112429,filament candidate,UNCOVER,16.98329305550868,,,,,,,,,,,,,,,,,,,,9196.20823708727,567.3370591146361,-5396.622514112429
UNCOVER-50270,50270.0,3.530179150908017,-30.358218514265733,14.838045497799918,8985.122329092133,554.304175365076,-5272.7412171377655,filament candidate,UNCOVER,14.838045497799918,,,,,,,,,,,,,,,,,,,,8985.122329092133,554.304175365076,-5272.7412171377655
UNCOVER-50478,50478.0,3.580128183348652,-30.35783876936868,14.226105289069258,8916.415396962424,557.8686665103606,-5232.625797214815,filament candidate,UNCOVER,14.226105289069258,,,,,,,,,,,,,,,,,,,,8916.415396962424,557.8686665103606,-5232.625797214815
UNCOVER-50564,50564.0,3.5804267341978546,-30.35769604640388,12.44579318554527,8691.984108009321,543.8722608373564,-5100.890132024195,filament candidate,UNCOVER,12.44579318554527,,,,,,,,,,,,,,,,,,,,8691.984108009321,543.8722608373564,-5100.890132024195
UNCOVER-50567,50567.0,3.547240239828191,-30.35769688560244,16.501969355597158,9152.132539760523,567.3429304849597,-5370.734633021071,filament candidate,UNCOVER,16.501969355597158,,,,,,,,,,,,,,,,,,,,9152.132539760523,567.3429304849597,-5370.734633021071
UNCOVER-50608,50608.0,3.5746965594581352,-30.3576216563332,16.21576220322292,9124.857013754114,570.0417083994615,-5354.872134179298,filament candidate,UNCOVER,16.21576220322292,,,,,,,,,,,,,,,,,,,,9124.857013754114,570.0417083994615,-5354.872134179298
UNCOVER-50642,50642.0,3.614860579316956,-30.357574800329616,11.416396720608669,8540.393082086932,539.5398811129061,-5012.094014305977,filament candidate,UNCOVER,11.416396720608669,,,,,,,,,,,,,,,,,,,,8540.39308208693,539.5398811129061,-5012.094014305976
UNCOVER-50680,50680.0,3.579326157612937,-30.357495702629237,14.094323404659232,8901.21459546174,556.7925192155482,-5223.628864882275,filament candidate,UNCOVER,14.094323404659232,,,,,,,,,,,,,,,,,,,,8901.21459546174,556.7925192155482,-5223.628864882275
UNCOVER-50689,50689.0,3.5393449115119577,-30.357481175762157,18.30141205779276,9308.034025142746,575.7197414913859,-5462.128347083602,filament candidate,UNCOVER,18.30141205779276,,,,,,,,,,,,,,,,,,,,9308.034025142746,575.7197414913859,-5462.128347083602
UNCOVER-50814,50814.0,3.5244994966169805,-30.35730167393024,10.442651845688784,8379.745281519603,516.1238289353778,-4917.277196308846,filament candidate,UNCOVER,10.442651845688784,,,,,,,,,,,,,,,,,,,,8379.745281519603,516.1238289353778,-4917.277196308846
UNCOVER-50858,50858.0,3.5800403204891182,-30.35722942503024,12.043946483978438,8635.108546715304,540.2549952138739,-5067.415941173756,filament candidate,UNCOVER,12.043946483978438,,,,,,,,,,,,,,,,,,,,8635.108546715303,540.2549952138738,-5067.415941173758
UNCOVER-50890,50890.0,3.5774391747010394,-30.357226599690645,15.936563470181364,9097.860590072813,568.792400877403,-5338.960989563551,filament candidate,UNCOVER,15.936563470181364,,,,,,,,,,,,,,,,,,,,9097.860590072813,568.792400877403,-5338.960989563551
UNCOVER-51009,51009.0,3.531785184887477,-30.36001155648998,12.10726318964528,8644.457241224402,533.5313236862926,-5073.201455419701,filament candidate,UNCOVER,12.10726318964528,,,,,,,,,,,,,,,,,,,,8644.4572412244,533.5313236862924,-5073.2014554197
UNCOVER-51032,51032.0,3.576637238178707,-30.35702047125236,12.260671877614271,8666.179468851347,541.6822048355092,-5085.588142138458,filament candidate,UNCOVER,12.260671877614271,,,,,,,,,,,,,,,,,,,,8666.179468851347,541.6822048355092,-5085.588142138458
UNCOVER-51087,51087.0,3.580379207847176,-30.35693325991749,12.643291556399976,8719.101133150318,545.5617585858397,-5116.647287376255,filament candidate,UNCOVER,12.643291556399976,,,,,,,,,,,,,,,,,,,,8719.101133150318,545.5617585858398,-5116.647287376255
UNCOVER-51101,51101.0,3.5053059419300894,-30.356915514131515,14.930627711282373,8995.464989820253,551.0223647013394,-5278.394465974327,filament candidate,UNCOVER,14.930627711282373,,,,,,,,,,,,,,,,,,,,8995.464989820252,551.0223647013393,-5278.3944659743265
UNCOVER-51141,51141.0,3.548307632972453,-30.3568422409044,12.517791417773909,8702.293173617745,539.6200211226325,-5106.587181875496,filament candidate,UNCOVER,12.517791417773909,,,,,,,,,,,,,,,,,,,,8702.293173617745,539.6200211226325,-5106.587181875496
UNCOVER-51171,51171.0,3.5518669115505466,-30.35675877910919,14.616286062202516,8960.774412190638,556.2069660788435,-5258.269096004864,filament candidate,UNCOVER,14.616286062202516,,,,,,,,,,,,,,,,,,,,8960.774412190638,556.2069660788435,-5258.269096004864
UNCOVER-51183,51183.0,3.513560888828683,-30.356798525895325,13.65967456900266,8850.19298562913,543.4035410306698,-5193.172756994231,filament candidate,UNCOVER,13.65967456900266,,,,,,,,,,,,,,,,,,,,8850.19298562913,543.4035410306698,-5193.172756994231
UNCOVER-51236,51236.0,3.566313807757901,-30.356639075413156,16.2893944559514,9132.04495381025,569.1494677572028,-5358.830675264527,filament candidate,UNCOVER,16.2893944559514,,,,,,,,,,,,,,,,,,,,9132.044953810248,569.1494677572027,-5358.830675264528
UNCOVER-51316,51316.0,3.5777795711225693,-30.356520090735984,13.643952794969582,8847.689903945084,553.2046601974221,-5192.006698990326,filament candidate,UNCOVER,13.643952794969582,,,,,,,,,,,,,,,,,,,,8847.689903945084,553.2046601974221,-5192.006698990326
UNCOVER-51325,51325.0,3.580823476861071,-30.35646074902797,14.476771155179602,8944.983198098193,559.7650268951804,-5249.105385247015,filament candidate,UNCOVER,14.476771155179602,,,,,,,,,,,,,,,,,,,,8944.983198098193,559.7650268951804,-5249.105385247015
UNCOVER-51335,51335.0,3.614973328279708,-30.356445974191715,17.148212499391626,9210.187112416012,581.8723584865186,-5404.932013399989,filament candidate,UNCOVER,17.148212499391626,,,,,,,,,,,,,,,,,,,,9210.187112416012,581.8723584865185,-5404.932013399989
UNCOVER-51389,51389.0,3.5054973626642223,-30.35634338200379,13.873130361188112,8875.993178400066,543.733815680913,-5208.172132876358,filament candidate,UNCOVER,13.873130361188112,,,,,,,,,,,,,,,,,,,,8875.993178400066,543.733815680913,-5208.172132876358
UNCOVER-51418,51418.0,3.5082241323718586,-30.35631416465075,16.21731378949752,9125.782433245964,559.4715745212429,-5354.75048762775,filament candidate,UNCOVER,16.21731378949752,,,,,,,,,,,,,,,,,,,,9125.782433245964,559.4715745212429,-5354.75048762775
UNCOVER-51423,51423.0,3.5013156695107304,-30.356298673039596,17.638692377024316,9253.77686104648,566.1985266162208,-5429.810525529466,filament candidate,UNCOVER,17.638692377024316,,,,,,,,,,,,,,,,,,,,9253.77686104648,566.1985266162208,-5429.810525529467
UNCOVER-51457,51457.0,3.5013725449060704,-30.35626064975369,11.031882642042229,8480.125124983164,518.8705771097348,-4975.849977622873,filament candidate,UNCOVER,11.031882642042229,,,,,,,,,,,,,,,,,,,,8480.125124983164,518.8705771097348,-4975.849977622875
UNCOVER-51488,51488.0,3.615104543849195,-30.356273788589547,17.033652738677766,9200.041815112618,581.2525621504061,-5398.941894182401,filament candidate,UNCOVER,17.033652738677766,,,,,,,,,,,,,,,,,,,,9200.041815112618,581.2525621504061,-5398.941894182401
UNCOVER-51651,51651.0,3.5138936107042382,-30.356024214592427,15.002170549456292,9003.119292199324,552.8457245507111,-5282.746002208923,filament candidate,UNCOVER,15.002170549456292,,,,,,,,,,,,,,,,,,,,9003.119292199324,552.8457245507111,-5282.746002208923
UNCOVER-51653,51653.0,3.53689986502467,-30.355942137710898,16.220621227054384,9125.851931830995,564.0605034558687,-5354.876513207481,filament candidate,UNCOVER,16.220621227054384,,,,,,,,,,,,,,,,,,,,9125.851931830995,564.0605034558687,-5354.876513207481
UNCOVER-51659,51659.0,3.5233496262946056,-30.355932666845604,15.335489089351256,9038.034863979972,556.4870151865975,-5303.267743346153,filament candidate,UNCOVER,15.335489089351256,,,,,,,,,,,,,,,,,,,,9038.034863979972,556.4870151865975,-5303.267743346153
UNCOVER-51795,51795.0,3.59236084479247,-30.35572777912323,16.238715755293676,9127.048442026738,573.0035143374236,-5355.855604788923,filament candidate,UNCOVER,16.238715755293676,,,,,,,,,,,,,,,,,,,,9127.048442026738,573.0035143374236,-5355.855604788923
UNCOVER-51813,51813.0,3.5733359521507,-30.355710489750702,15.311978184224358,9035.13317975325,564.2211485341784,-5301.804786908164,filament candidate,UNCOVER,15.311978184224358,,,,,,,,,,,,,,,,,,,,9035.13317975325,564.2211485341784,-5301.804786908164
UNCOVER-51830,51830.0,3.5371485262204234,-30.355668977986017,15.34817659946847,9039.235910445746,558.7462267174443,-5303.995313701733,filament candidate,UNCOVER,15.34817659946847,,,,,,,,,,,,,,,,,,,,9039.235910445746,558.7462267174443,-5303.995313701733
UNCOVER-51920,51920.0,3.537448694710035,-30.3555340720276,17.4739398366317,9239.42405893382,571.1691335863736,-5421.433146314478,filament candidate,UNCOVER,17.4739398366317,,,,,,,,,,,,,,,,,,,,9239.42405893382,571.1691335863736,-5421.433146314478
UNCOVER-51952,51952.0,3.558657403171691,-30.355494366443235,15.579826630334392,9062.711557178998,563.612564231269,-5317.856841873164,filament candidate,UNCOVER,15.579826630334392,,,,,,,,,,,,,,,,,,,,9062.711557178998,563.612564231269,-5317.856841873164
UNCOVER-51966,51966.0,3.573569915959889,-30.355466001635435,18.879971685484023,9353.415264349036,584.1354004156228,-5488.520007353201,filament candidate,UNCOVER,18.879971685484023,,,,,,,,,,,,,,,,,,,,9353.415264349036,584.1354004156228,-5488.520007353201
UNCOVER-51992,51992.0,3.5373514856812545,-30.355444425133346,15.829661331248364,9087.903459589834,561.7868503208337,-5332.505445055849,filament candidate,UNCOVER,15.829661331248364,,,,,,,,,,,,,,,,,,,,9087.903459589834,561.7868503208337,-5332.505445055849
