id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,z_num,name,id,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,X,Y,Z_coord
3686.0,3.617202003263485,-30.42553381079773,9.318165,9.30275839636045,9.313930145473265,9.325101894586078,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12863.0,0.0127284892090657,9.318165,,,,,,,,,8158.969942782133,515.7782022345631,-4801.293104073788
4286.0,3.619201005497743,-30.4232703426477,5.836704,5.841923221549697,5.849342229813279,5.85676123807686,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,13742.0,0.0094963819115003,5.836704,,,,,,,,,7189.443950278133,454.7403936738033,-4230.384635030155
7309.0,3.611317802661625,-30.41455737328158,6.346668,6.33339693045836,6.348374638354964,6.363111646280458,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,manual/templ,manual/templ,2.6259999999999994,2,17536.0,0.0153420802679371,6.346668,,,,,,,,,7374.19153371383,465.40723616742747,-4337.544393462055
8613.0,3.60060193250919,-30.41027142361719,6.380238,6.371631593847814,6.379624988970781,6.387618384093746,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,19120.0,0.0175560365885713,6.380238,,,,,,,,,7386.047924861089,464.76865034138626,-4343.722846487744
8936.0,3.604124454272525,-30.40954777649949,6.645962,6.6239581554603255,6.636318609523333,6.655152517433513,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,19485.0,0.033348562317479,6.645962,,,,,,,,,7474.008702201585,470.7649214231992,-4395.342283354432
8943.0,3.614087403729256,-30.41044795973289,6.325826,6.320618889049481,6.329011639616588,6.339001462160193,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20026.0,0.0078265588017637,6.325826,,,,,,,,,7367.334185758206,465.331995150324,-4332.812197820369
10155.0,3.582205518181468,-30.40711390884758,5.659243,5.649289885655613,5.656500012839335,5.663710140023057,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,20875.0,0.0045158454818016,5.659243,,,,,,,,,7121.997809330848,445.8575152127272,-4187.82228301443
10646.0,3.636959983509949,-30.40636155877451,8.51059,8.501931225621085,8.512234601441035,8.522537977260987,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21390.0,0.0086114331441189,8.51059,,,,,,,,,7983.746783067764,507.4654709954673,-4694.683068903582
10740.0,3.615159727040683,-30.40606642726874,6.141379,6.130084534234983,6.137855939895061,6.145587465235897,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21524.0,0.0069536863492024,6.141379,,,,,,,,,7303.068801392784,461.41012260318774,-4294.269737433138
11045.0,3.612434169529675,-30.40554575330742,6.331689,6.324996410390961,6.332939236865283,6.340882063339604,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21840.0,0.0059146326047714,6.331689,,,,,,,,,7369.730753250476,465.26986902566784,-4333.364326887918
11254.0,3.5804459401238,-30.40502288450324,6.87195,6.867101245062186,6.87563190044337,6.8841625558245525,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",22153.0,0.0138496213371732,6.87195,,,,,,,,,7545.823308495048,472.15756533195326,-4436.657410955123
12065.0,3.570058411157738,-30.40368850435579,5.544374,5.534249303546579,5.541334720821764,5.5484201043112025,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,22947.0,0.0090633110203002,5.544374,,,,,,,,,7076.246113176214,441.48725430107675,-4160.2947540346195
12899.0,3.582353077987806,-30.40273183209246,6.873525,6.867100221611924,6.87563155310562,6.884163123466276,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",23918.0,0.0121451390195798,6.873525,,,,,,,,,7546.470638993047,472.4502447008595,-4436.640809439085
13077.0,3.570869324641364,-30.40158532661826,13.163633,12.908682991435173,13.15264545713766,13.214464048625526,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,templ,templ,7.294441666666666,"5,7",24119.0,0.0295062594007079,13.163633,,,,,,,,,8783.713123156704,548.1409844975019,-5163.725831808419
13123.0,3.579828558636116,-30.40156942018814,7.039813,7.146647650494824,7.155685527452545,7.164723422132208,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",24175.0,0.0095944870462636,7.039813,,,,,,,,,7597.090166191171,475.28325557304925,-4466.180591261716
13151.0,3.592501339027848,-30.40146428899556,9.798486,9.805003607362549,9.81671996591658,9.828438843269444,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",24203.0,0.0012402150554164,9.798486,,,,,,,,,8256.757112928046,518.3862439200349,-4854.032756267045
14409.0,3.577958919831204,-30.40159894880162,5.135588,5.132430301793239,5.139079974642795,5.145739438516378,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,9.718025,"3,5,7",25664.0,0.010601569374084,5.135588,,,,,,,,,6902.003365761596,431.5716721803318,-4057.5491778601227
15383.0,3.583534552387626,-30.39667857268421,7.042226,7.031051492107511,7.039759926191883,7.048468360276256,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,9.426248333333332,"2,3,6",26651.0,0.003818370959641,7.042226,,,,,,,,,7598.161330649052,475.8436571669636,-4465.954857727625
15719.0,3.577225353575009,-30.39592846401837,5.047264,5.045499221471634,5.052054631000392,5.058610040529151,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,5,27035.0,0.0053197366512774,5.047264,,,,,,,,,6862.456042065756,429.01063427705236,-4033.382165811288
16155.0,3.58295318947418,-30.39523246397209,6.87195,6.867101245062186,6.875631900443369,6.8841625558245525,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",27427.0,0.0110659145773926,6.87195,,,,,,,,,7546.559161929328,472.53513863956306,-4435.365431389142
16594.0,3.597202696492125,-30.39432868826726,7.041422,7.031051492107511,7.039759926191883,7.048468360276256,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"1,5,6,7",27966.0,0.0052340131294272,7.041422,,,,,,,,,7597.990043930692,477.6525979800552,-4465.501358397313
16863.0,3.631389794646223,-30.39381459579425,5.133747,5.132444609691796,5.139094298056022,5.145743986420247,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,28261.0,0.0088257169401347,5.133747,,,,,,,,,6901.323989858956,437.99052623133963,-4056.125286290468
18113.0,3.563607128244524,-30.39234196139302,5.150331,5.142182152302138,5.148843358004821,5.155503854406414,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,29658.0,0.0568965380019046,5.150331,,,,,,,,,6909.351631774519,430.29371248784514,-4060.302214905513
18840.0,3.572669795180386,-30.38972139140361,5.299724,5.2901131841692814,5.296933839733676,5.30375449529807,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,30452.0,0.0156984028665141,5.299724,,,,,,,,,6974.910318011629,435.4840458813087,-4098.438829665198
18924.0,3.581044323249695,-30.3895606891702,7.68681,7.680324084107461,7.6897365539679425,7.699149023828424,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",30500.0,0.0157279113221049,7.68681,,,,,,,,,7780.60280038254,486.929774238455,-4571.873983779755
19025.0,3.623700753761731,-30.3893629899024,7.55577,7.543742567200225,7.553143513004843,7.562415734590402,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,30616.0,0.0068358645170276,7.55577,,,,,,,,,7744.948986176583,490.4873995767167,-4551.101162936249
20071.0,3.629327906297434,-30.38754369535286,5.135588,5.13244460184926,5.139094290211208,5.145743983931088,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,31810.0,0.0037818333324529,5.135588,,,,,,,,,6902.606818139041,437.8225382981518,-4055.8526155550676
