Unique_ID,PID,TIER,Tier_old,NIRSpec_ID,NIRCam_DR5_ID,NIRCam_DR3_ID,ObsDate,RA_TARG,Dec_TARG,x_offset,y_offset,Field,GSa,GSb,PC_eMPT,Priority,oddball_source,PC_eMPT_pre_oddball,priority_pre_oddball,probability_allocated,F444W_gold_DR3,UV_gold_DR3,F444W_gold_DR5_beta,UV_gold_DR5_beta,assigned_Prism,assigned_G140M,assigned_G235M,assigned_G395M,assigned_G395H,nDither_Pr,nDither_Gr,nInt_Prism,nInt_G140M,nInt_G235M,nInt_G395M,nInt_G395H,tExp_PRISM,tExp_G140M,tExp_G235M,tExp_G395M,tExp_G395H,z_phot,z_Spec,z_paper,z_paper_name,z_paper_ref,z_R1000,z_R1000n,z_PRISM,z_Spec_flag,1500A_flux,1500A_flux_err,MUV,MUV_err_u,MUV_err_l,Hbeta,[OIII]5007,Halpha_NII,[OII]3727,fits_map,RA_TRUE,DEC_TRUE,X,Y,Z_coord
b'goods-s-deepjwst_17570',1287,b'goods-s-deepjwst',b'deep_jwst_gs',17570,455799,-1,b'2024-01-10',53.1102938,-27.8863941,0.011,0.117,b'GS',False,False,22,b'8.3',,-99,,0.010805943268797838,-1,-1,0,0,b'T',b'T',b'T',b'T',b'T',1,1,24,6,6,6,6,33262.0,8315.0,8315.0,8315.0,8315.0,2.4827,3.4785595238545235,,,,3.4785595238545235,1.0,3.474826,b'A',1.2732972940336784e-20,1.2661006024198185e-20,-16.00854168092554,0.7495023484203571,5.619492307602037,,101.40946316816833,39.2935543545641,,b'https://jades.idies.jhu.edu/public/?ra=53.11029&dec=-27.88639&zoom=10',53.11029685555555,-27.8863616,3678.944414833073,4901.7283331555545,-3243.138318997526
b'goods-s-mediumjwst_29609',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',29609,29609,29609,b'2023-12-11',53.0887709,-27.8782939,0.053,-0.001,b'GS',False,True,19,b'8',,-99,,0.04401122433909319,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,3,2844.0,2844.0,2844.0,2844.0,2844.0,3.50451,3.4730742806581656,,,,3.4730742806581656,2.0,3.479325,b'A',1.5088306317239945e-19,1.5157696025697846e-20,-18.696167278963458,0.10393554523057347,0.1149486681072247,,166.0789590936632,123.7210972495992,,b'https://jades.idies.jhu.edu/public/?ra=53.08877&dec=-27.87829&zoom=10',53.088785622222225,-27.87829417777778,3678.6465734203575,4897.50050828675,-3240.150754972003
b'goods-s-mediumjwst_33212',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',33212,33212,33212,b'2023-12-11',53.0647266,-27.8760592,0.061,-0.008,b'GS',False,True,22,b'8.3',,-99,,0.021899668958492487,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,3,2844.0,2844.0,2844.0,2844.0,2844.0,3.42119,3.4739073740153037,,,,3.4739073740153037,2.0,3.476524,b'A',1.573381543334448e-20,4.2477203514788905e-20,-16.239566737310447,1.4204278751732389,,,154.80199448722868,137.85979693263195,,b'https://jades.idies.jhu.edu/public/?ra=53.06473&dec=-27.87606&zoom=10',53.06474354444445,-27.87606142222222,3681.144017978105,4896.545349105814,-3240.2349621481985
b'goods-s-mediumjwst_40920',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',40920,107632,107632,b'2023-01-13',53.1306877,-27.807085,-0.012,-0.069,b'GS',True,False,18,b'8.1',,-99,,0.04562162162162162,0,0,0,0,b'T',b'T',b'T',b'T',b'T',3,3,9,4,9,9,9,7877.0,9190.0,9190.0,9190.0,7877.0,2.9729,3.437,,,,,,3.45097,b'D',3.4081126754197896e-20,2.3731982017197703e-20,-17.059668182628798,0.5737809467650834,1.2940237093588038,,,,,b'https://jades.idies.jhu.edu/public/?ra=53.13069&dec=-27.80708&zoom=10',53.13068436666667,-27.80710416666667,3661.509834026965,4882.116429389681,-3218.5025433962837
b'goods-s-mediumjwst_41360',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',41360,200781,200781,b'2023-01-28',53.1416245,-27.8058643,-0.075,-0.081,b'GS',True,False,14,b'7.7',,-99,,0.15246636771300448,1,0,1,0,b'T',b'T',b'T',b'T',b'T',3,3,9,4,9,9,0,11160.0,9190.0,9190.0,9190.0,0.0,3.47296,3.4690652257427645,,,,3.4690652257427645,4.0,3.478917,b'A',8.904652569787629e-20,4.640406445917702e-20,-18.12330498174398,0.4554098055024305,0.7994367900684516,125.02168859179606,905.493257338296,550.6977114988882,,b'https://jades.idies.jhu.edu/public/?ra=53.14162&dec=-27.80586&zoom=10',53.14160366666667,-27.8058868,3674.8187888417474,4901.8080103526445,-3230.8559634116073
b'goods-n-mediumjwst_42939',1181,b'goods-n-mediumjwst',b'medium_jwst_gn',42939,1042939,1042939,b'2023-05-05',189.20953524327444,62.16395193247277,-0.048,-0.078,b'GN',False,False,14,b'7.7',,-99,,0.13626126126126126,1,0,1,0,b'T',b'T',b'T',b'T',b'T',3,3,9,9,9,9,9,9190.0,9190.0,9190.0,9190.0,9190.0,3.30723,3.4658830580162903,,,,3.4658830580162903,11.0,3.468956,b'A',3.530922404740111e-19,4.454330172367709e-20,-19.61156130783276,0.12899255681776722,0.14641029161224495,410.18265587434144,2940.9376247371943,1262.0415195133394,326.76762200091827,b'https://jades.idies.jhu.edu/goods-n/?ra=189.20954&dec=62.16395&zoom=10',189.20952190994112,62.1639302658061,-3191.1761776149833,-517.4020227241508,6122.297684619788
b'goods-s-mediumjwst_44991',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',44991,44991,44991,b'2023-12-11',53.0510419,-27.8666251,-0.072,0.148,b'GS',False,True,22,b'8.3',,-99,,0.021899668958492487,0,0,0,0,b'T',b'F',b'F',b'F',b'F',3,0,9,0,0,0,0,8534.0,0.0,0.0,0.0,0.0,2.06814,3.41617,,,,,,3.41617,b'D',5.758140660128648e-20,4.426420961891779e-20,-17.60284104892989,0.6191501764939034,1.5896736148597768,,,,,b'https://jades.idies.jhu.edu/public/?ra=53.05104&dec=-27.86663&zoom=10',53.0510219,-27.866583988888888,3656.9652679889728,4861.958892432226,-3216.6394520323543
b'goods-s-mediumhst_45736',1180,b'goods-s-mediumhst',b'medium_hst_gs',45736,444240,-1,b'2022-10-05',53.1218509,-27.728055,-0.091,-0.037,b'GS',False,False,13,b'6.3',,-99,,0.09166666666666666,-1,-1,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,0,3720.0,3063.0,3063.0,3063.0,0.0,2.501,3.4605483375061192,,,,3.4605483375061192,2.0,3.461015,b'A',2.602616888120411e-19,8.016019043709337e-20,-19.27443386601884,0.2915180532263797,0.39973229388918696,,723.8189363703087,402.98865235542996,,b'https://jades.idies.jhu.edu/public/?ra=53.12185&dec=-27.72806&zoom=10',53.12182562222222,-27.72806527777778,3675.3796163199527,4899.031629479207,-3219.237615116045
b'goods-s-mediumjwst_46101',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',46101,115813,115813,b'2023-01-28',53.1200714,-27.793829,0.034,-0.147,b'GS',True,False,18,b'8.1',,-99,,0.04562162162162162,0,0,0,0,b'T',b'T',b'T',b'T',b'T',2,2,6,3,6,6,0,7440.0,6127.0,6127.0,6127.0,0.0,3.4,3.468650669654938,,,,3.468650669654938,3.0,3.467602,b'A',1.4019678411994737e-19,2.4291413273362408e-20,-18.607675453675206,0.17349172373123167,0.20658622724806008,148.87025295741404,604.2754697148974,323.8337212718514,,b'https://jades.idies.jhu.edu/public/?ra=53.12007&dec=-27.79383&zoom=10',53.120080844444445,-27.793869833333332,3676.8837300872738,4900.725618753216,-3229.4104942862577
b'goods-s-mediumjwst_46315',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',46315,116170,116170,b'2023-01-28',53.1230583,-27.7933083,-0.008,-0.011,b'GS',True,False,18,b'8.1',,-99,,0.04562162162162162,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,0,3720.0,3063.0,3063.0,3063.0,0.0,3.553,3.467911979822136,,,,3.467911979822136,3.0,3.465662,b'A',3.4772838467830145e-20,4.600950046148971e-20,-17.092482054930734,0.9151907006194904,,,337.61290178660244,154.84659266706447,,b'https://jades.idies.jhu.edu/public/?ra=53.12306&dec=-27.79331&zoom=10',53.123056077777775,-27.793311355555556,3676.3224985102697,4900.507657244164,-3229.064758307001
